[2026-04-01 15:18:41] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-04-01 15:18:41] KeyCaptured: 1000 ('?') | Source: keyboard_linux
[2026-04-01 15:18:41] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-01 15:18:41] KeyCaptured: 1000 ('?') | Source: keyboard_linux
[2026-04-01 15:18:42] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-04-01 15:18:42] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-01 15:18:42] KeyCaptured: 1000 ('?') | Source: keyboard_linux
[2026-04-01 15:18:42] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-04-01 15:18:42] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-01 15:18:42] KeyCaptured: 1000 ('?') | Source: keyboard_linux
[2026-04-01 15:18:42] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-04-01 15:18:43] KeyCaptured: 27 ('?') | Source: keyboard_linux
[2026-04-01 15:18:45] KeyCaptured: 51 ('3') | Source: keyboard_linux
[2026-04-01 15:18:45] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-01 15:18:55] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-01 15:18:57] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-01 15:18:58] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-01 15:18:59] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-01 15:18:59] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-01 15:19:00] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-01 15:19:00] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-01 15:19:01] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-01 15:19:01] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-01 15:19:01] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-01 15:19:02] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-01 15:19:02] KeyCaptured: 1000 ('?') | Source: keyboard_linux
[2026-04-01 15:19:03] KeyCaptured: 1000 ('?') | Source: keyboard_linux
[2026-04-01 15:19:04] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-04-01 15:19:05] KeyCaptured: 51 ('3') | Source: keyboard_linux
[2026-04-01 15:19:06] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-01 15:19:07] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-01 15:19:07] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-04-01 15:19:07] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-01 15:19:08] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-04-01 15:19:10] KeyCaptured: 57 ('9') | Source: keyboard_linux
[2026-04-01 15:19:10] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-01 15:19:11] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-01 15:19:11] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-01 15:19:12] KeyCaptured: 51 ('3') | Source: keyboard_linux
[2026-04-01 15:19:37] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-01 15:19:39] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-01 15:19:40] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-01 15:19:40] KeyCaptured: 1000 ('?') | Source: keyboard_linux
[2026-04-01 15:19:40] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-04-01 15:19:41] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-04-01 15:19:41] KeyCaptured: 27 ('?') | Source: keyboard_linux
[2026-04-01 15:19:51] KeyCaptured: 54 ('6') | Source: keyboard_linux
[2026-04-01 15:19:51] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-01 16:48:13] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-01 16:48:13] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-01 16:48:14] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-01 16:48:14] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-01 16:48:14] KeyCaptured: 1000 ('?') | Source: keyboard_linux
[2026-04-01 16:48:15] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-04-01 16:48:16] KeyCaptured: 50 ('2') | Source: keyboard_linux
[2026-04-01 16:48:17] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-01 16:48:22] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-01 16:48:22] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-01 16:48:23] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-01 16:48:23] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-04-01 16:48:23] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-04-01 16:48:24] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-04-01 16:48:24] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-04-01 16:48:24] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-04-01 16:48:24] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-04-01 16:48:24] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-04-01 16:48:25] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-01 16:48:26] KeyCaptured: 50 ('2') | Source: keyboard_linux
[2026-04-01 16:48:29] KeyCaptured: 27 ('?') | Source: keyboard_linux
[2026-04-01 16:57:28] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-01 16:57:29] KeyCaptured: 1003 ('?') | Source: keyboard_linux
