number word embedding pe weight bias1 bias2 bias3 bias4
222 canvas 0.885321 0.480435 0.817115 0.000000 0.000000 0.000000 0.000000
223 car 0.710123 0.482609 0.600391 0.000000 0.000000 0.000000 0.000000
224 car-stealing 0.397751 0.484783 0.214944 0.000000 0.000000 0.000000 0.000000
225 change 0.714059 0.486957 0.602773 0.000000 0.000000 0.000000 0.000000
226 changed 0.397047 0.489130 0.211618 0.000000 0.000000 0.000000 0.000000
227 changes 0.398062 0.491304 0.211636 0.000000 0.000000 0.000000 0.000000
228 chases 0.722452 0.493478 0.609406 0.000000 0.000000 0.000000 0.000000
229 clipping 0.560635 0.495652 0.409141 0.000000 0.000000 0.000000 0.000000
230 clues 1.196969 0.497826 1.190602 0.000000 0.000000 0.000000 0.000000
231 colors 0.418279 0.500000 0.231583 0.000000 0.000000 0.000000 0.000000
232 compiled 0.260522 0.502174 0.036312 0.000000 0.000000 0.000000 0.000000
233 conjures 0.719182 0.504348 0.599234 0.000000 0.000000 0.000000 0.000000
234 conjuring 0.314300 0.506522 0.099999 0.000000 0.000000 0.000000 0.000000
235 coordinates 0.515152 0.508696 0.345817 0.000000 0.000000 0.000000 0.000000
236 cube 0.364412 0.510870 0.159177 0.000000 0.000000 0.000000 0.000000
237 cubes 0.506711 0.513043 0.332975 0.000000 0.000000 0.000000 0.000000
238 cursor 0.760683 0.515217 0.644130 0.000000 0.000000 0.000000 0.000000
239 cursor_x 0.532042 0.517391 0.361672 0.000000 0.000000 0.000000 0.000000
240 cursor_y 0.533043 0.519565 0.361673 0.000000 0.000000 0.000000 0.000000
241 cursor_z 0.534044 0.521739 0.361674 0.000000 0.000000 0.000000 0.000000
242 dark 0.385103 0.523913 0.177247 0.000000 0.000000 0.000000 0.000000
243 data 0.386159 0.526087 0.177316 0.000000 0.000000 0.000000 0.000000
244 desert 0.948132 0.528261 0.867312 0.000000 0.000000 0.000000 0.000000
245 displayed 1.170788 0.530435 1.139949 0.000000 0.000000 0.000000 0.000000
246 displays 0.818550 0.532609 0.705467 0.000000 0.000000 0.000000 0.000000
247 dive 0.398941 0.534783 0.188117 0.000000 0.000000 0.000000 0.000000
248 drives 1.027818 0.536957 0.960406 0.000000 0.000000 0.000000 0.000000
249 e 0.425674 0.539130 0.218539 0.000000 0.000000 0.000000 0.000000
250 each 0.428542 0.541304 0.220837 0.000000 0.000000 0.000000 0.000000
251 empty 0.620804 0.543478 0.456089 0.000000 0.000000 0.000000 0.000000
252 empty/invalid 0.722978 0.545652 0.580533 0.000000 0.000000 0.000000 0.000000
253 emulates 0.292229 0.547826 0.049482 0.000000 0.000000 0.000000 0.000000
254 enchanted 0.858871 0.550000 0.745221 0.000000 0.000000 0.000000 0.000000
255 end-token 0.898298 0.552174 0.792487 0.000000 0.000000 0.000000 0.000000
256 ensure 0.786223 0.554348 0.653404 0.000000 0.000000 0.000000 0.000000
257 errors 0.488450 0.556522 0.285913 0.000000 0.000000 0.000000 0.000000
258 every 0.939192 0.558696 0.839096 0.000000 0.000000 0.000000 0.000000
259 example 0.506369 0.560870 0.305494 0.000000 0.000000 0.000000 0.000000
260 features 0.494524 0.563043 0.289695 0.000000 0.000000 0.000000 0.000000
261 file 0.484485 0.565217 0.276117 0.000000 0.000000 0.000000 0.000000
262 files 0.669120 0.567391 0.501988 0.000000 0.000000 0.000000 0.000000
263 film 0.486493 0.569565 0.276126 0.000000 0.000000 0.000000 0.000000
264 for 0.754852 0.571739 0.604978 0.000000 0.000000 0.000000 0.000000
265 form 0.495225 0.573913 0.284407 0.000000 0.000000 0.000000 0.000000
266 frame 0.984824 0.576087 0.885384 0.000000 0.000000 0.000000 0.000000
267 freeglut3-dev 0.854162 0.578261 0.723439 0.000000 0.000000 0.000000 0.000000
268 from 0.501393 0.580435 0.288303 0.000000 0.000000 0.000000 0.000000
269 fueled 0.722714 0.582609 0.559298 0.000000 0.000000 0.000000 0.000000
270 full-frame 1.247416 0.584783 1.203452 0.000000 0.000000 0.000000 0.000000
271 g 0.447676 0.586957 0.218541 0.000000 0.000000 0.000000 0.000000
272 game 0.522743 0.589130 0.309644 0.000000 0.000000 0.000000 0.000000
273 gathering 1.186878 0.591304 1.125300 0.000000 0.000000 0.000000 0.000000
274 gcc 0.765530 0.593478 0.605812 0.000000 0.000000 0.000000 0.000000
275 generated 0.564516 0.595652 0.357335 0.000000 0.000000 0.000000 0.000000
276 glory 0.980554 0.597826 0.867831 0.000000 0.000000 0.000000 0.000000
277 glowing 0.790300 0.600000 0.632589 0.000000 0.000000 0.000000 0.000000
278 grid 0.547123 0.602174 0.332251 0.000000 0.000000 0.000000 0.000000
279 group 1.199266 0.604348 1.133157 0.000000 0.000000 0.000000 0.000000
280 grow 0.549340 0.606522 0.332518 0.000000 0.000000 0.000000 0.000000
281 h5 1.143394 0.608696 1.061975 0.000000 0.000000 0.000000 0.000000
282 has 0.774569 0.610870 0.607090 0.000000 0.000000 0.000000 0.000000
283 high-tech 0.930918 0.613043 0.798169 0.000000 0.000000 0.000000 0.000000
284 in 1.146484 0.615217 1.062085 0.000000 0.000000 0.000000 0.000000
285 install 0.632124 0.617391 0.428193 0.000000 0.000000 0.000000 0.000000
286 instantly 0.476307 0.619565 0.235308 0.000000 0.000000 0.000000 0.000000
287 into 0.624015 0.621739 0.415758 0.000000 0.000000 0.000000 0.000000
288 is 1.150489 0.623913 1.062091 0.000000 0.000000 0.000000 0.000000
289 isn’t 0.884702 0.626087 0.733943 0.000000 0.000000 0.000000 0.000000
290 it’s 0.992504 0.628261 0.865310 0.000000 0.000000 0.000000 0.000000
291 known 0.811266 0.630435 0.641157 0.000000 0.000000 0.000000 0.000000
292 libgl1-mesa-dev 0.402935 0.632609 0.137680 0.000000 0.000000 0.000000 0.000000
293 like 0.732074 0.634783 0.541291 0.000000 0.000000 0.000000 0.000000
