[1777076831] EntityMoved: xlector | from (4,5) to (4,4)
[2026-04-24 20:27:11] FrameRendered: at 2026-04-24 20:27:11 | Source: renderer
[1777076832] EntityMoved: xlector | from (4,4) to (5,4)
[2026-04-24 20:27:12] FrameRendered: at 2026-04-24 20:27:12 | Source: renderer
[1777076832] EntityMoved: xlector | from (5,4) to (5,5)
[2026-04-24 20:27:12] FrameRendered: at 2026-04-24 20:27:12 | Source: renderer
[2026-04-24 20:27:12] FrameRendered: at 2026-04-24 20:27:12 | Source: renderer
[1777076838] EntityMoved: xlector | from (5,5) to (5,4)
[2026-04-24 20:27:18] FrameRendered: at 2026-04-24 20:27:18 | Source: renderer
[2026-04-24 20:27:18] FrameRendered: at 2026-04-24 20:27:18 | Source: renderer
[1777076838] EntityMoved: xlector | from (5,4) to (5,3)
[2026-04-24 20:27:18] FrameRendered: at 2026-04-24 20:27:18 | Source: renderer
[1777076839] EntityMoved: xlector | from (5,3) to (5,2)
[2026-04-24 20:27:19] FrameRendered: at 2026-04-24 20:27:19 | Source: renderer
[1777076839] EntityMoved: xlector | from (5,2) to (5,1)
[2026-04-24 20:27:19] FrameRendered: at 2026-04-24 20:27:19 | Source: renderer
[1777076840] EntityMoved: xlector | from (5,1) to (5,0)
[2026-04-24 20:27:20] FrameRendered: at 2026-04-24 20:27:20 | Source: renderer
